product_id,rating,review_text
"Apple iPhone 13 (Starlight, 128 GB)",5.0,"I switch to ios from android after 10 years so this review might help for migrators

Its been a month using the iPhone13 and this was my experience

1. Design - its simple and no nonsense design . Expect white and pink rest of the colours are fingerprint magnets. I have seen all the colours and I highly recommend the pink . Its so light pink which makes it not girlish. See it for yourself it really looks so premium in light pink colour.

For rest of it except white the aluminium frame wil...
READ MORE"
"Apple iPhone 13 (Starlight, 128 GB)",5.0,"Awesome battery backup amazing camera, a all day batter backup improved and brilliant IOs 16.1 oled display dolby speakers and lot more, just close your eyes and go for it. One of the best handy smartphones ever and in great discount given by flipkart in big billion days "
"Apple iPhone 13 (Starlight, 128 GB)",5.0,"LOOK - Its my first love apple i phone 13, first time purchase this phone but its look awesome in white colour love it. hand feel too much premium.
CAMERA - Mind blowing camera performance font camera and rear cameras take too much awesome qualities pictures . Night mode is supergood low light performance impressed me
PERFORMANCE - its bionic a15 chipset faster ,have 60hz refresh rate but its beatable 120hz
DISPLAY - uts OLD XDR RETINA display too much good look display i get 10 of 10 for d...
READ MORE"
"Apple iPhone 13 (Starlight, 128 GB)",5.0,"Amazing beast....
As expected , didn't disappoint me,
Had to sell hard chunk of kidneys to get it !!;p
Camera quality is definitely a super upgrade
Battery is super.. easily last throughout the day with heavy usage.
Light weight looks stylish what else you need??
Starlight color just wow!!!
Apple it would have been better if you should have given an adaptor. Increase 2k price and give it in box!!!
Simple ....
Edit 1 : After 14 days of usage highly satisfied with battery performance, Last thr...
READ MORE"
"Apple iPhone 13 (Starlight, 128 GB)",5.0,I upgraded to 13 from xs and my experience with this had been extraordinary . The user interface and the camera is too good .Just in love with this extraordinary device .I just shared some photos clicked from this phone so that everyone can have an idea about how good the camera is compared all other flagship devices . The lens inside the device is so efficient that it automatically reduces the noise in the picture making it very crisp and clear .
"Apple iPhone 13 (Starlight, 128 GB)",5.0,Happy to have this phone
"Apple iPhone 13 (Starlight, 128 GB)",4.0,Best phone for day to day use and photography/videography.
"Apple iPhone 13 (Starlight, 128 GB)",5.0,Awesome camera..I m love it
"Apple iPhone 13 (Starlight, 128 GB)",5.0,Best phone in recent times I have used in my life
"Apple iPhone 13 (Starlight, 128 GB)",5.0,Great performance 
"Apple iPhone 14 (Blue, 128 GB)",5.0,Good
"Apple iPhone 14 (Blue, 128 GB)",5.0,"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome
50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy
See Low light photos are amazing.."
"Apple iPhone 14 (Blue, 128 GB)",5.0,Nice camera but battery drain fast specially on video recording
"Apple iPhone 14 (Blue, 128 GB)",5.0,Just amazing!
"Apple iPhone 14 (Blue, 128 GB)",5.0,"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go."
"Apple iPhone 14 (Blue, 128 GB)",5.0,"The best camera best design !!
1st iphone 14 !!
i tried all conditions light photo
the quality is best i was impressed with device
battery backup is good
perform is very impressive "
"Apple iPhone 14 (Blue, 128 GB)",5.0,Amazing picture quality
"Apple iPhone 14 (Blue, 128 GB)",5.0,"Excellent smart phone, Good battery backup and performance is very good, Good camera quality."
"Apple iPhone 14 (Blue, 128 GB)",5.0,"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phone"
"Apple iPhone 14 (Blue, 128 GB)",5.0,Love the camera
"Apple iPhone 14 (Blue, 128 GB)",5.0,Performance is really good and camera quality is fine
"Apple iPhone 14 (Blue, 128 GB)",5.0,"Cameras quality is , all rounder phone"
"Apple iPhone 14 (Blue, 128 GB)",5.0,Good
"Apple iPhone 14 (Blue, 128 GB)",5.0,"Reasons to get it over regular 13
- 50 percent extra ram
- Better camera sensors
- Cinematic mode at 4k 30 fps (13 could only do 1080p 30fps)
- Action mode for super stabilised videos
- Better low light photos thanks to photonic engine
- Better battery life
- Extra gpu core for high graphics performance
- New improved modem for fast and efficient mobile connectivity
- Dual ambient light sensors
- Better camera flash
- Crash detection
- Satellite connectivity (though currently not in I...
READ MORE"
"Apple iPhone 14 (Blue, 128 GB)",5.0,Amazing!pictures... everything good 
"Apple iPhone 14 (Blue, 128 GB)",5.0,Thanku filipkart best phone in the world 
"Apple iPhone 14 (Blue, 128 GB)",5.0,Excellent build quality. Much faster and smoother
"Apple iPhone 14 (Blue, 128 GB)",5.0,"Just awesome....
Display Camera Battery Processor....
JUST WOW...."
"Apple iPhone 14 (Blue, 128 GB)",4.0,Nice UI and Fast
"Apple iPhone 14 (Blue, 128 GB)",5.0,Awesome device form apple just go for it and main point is Flipkart delivery facility is best.
"Apple iPhone 14 (Blue, 128 GB)",5.0,"I bought iPhone 14 in big billion days. Very happy. Excellent Product delivery
Excellent haptics
Excellent Performance
Excellent Camera
Excellent In hand feel
Excellent Eco System if u have other apple products
 From Ooty

Thank you Flipkart for the big billion days "
"Apple iPhone 14 (Blue, 128 GB)",5.0,Iphone 14 Nothing to say about it.... too Fast to furious... thank you Flipkart 
"Apple iPhone 14 (Blue, 128 GB)",5.0,Finally got an iPhone. Love the camera.
"Apple iPhone 14 (Blue, 128 GB)",5.0,sound quality is very good 
"Apple iPhone 14 (Blue, 128 GB)",5.0,Just perfect!!
"Apple iPhone 14 (Blue, 128 GB)",4.0,Awesome 
"Apple iPhone 14 (Blue, 128 GB)",5.0,Camera is superb.nice phone
"Apple iPhone 14 (Blue, 128 GB)",5.0,Loved it 
"Apple iPhone 14 (Blue, 128 GB)",4.0,Unboxing overall good experience 
"Apple iPhone 14 (Blue, 128 GB)",5.0,"Very nice product, camera quality is just amazing everything seems too real.
Phone is very fast."
"Apple iPhone 14 (Blue, 128 GB)",5.0,"I used iPhone 12 mini and now upgraded with iPhone 14.
Camera quality is awesome.
Full day battery backup.
Super Retina display with high dynamic range is awesome.

In terms of camera and battery life is big upgrade for me."
"Apple iPhone 14 (Blue, 128 GB)",5.0,After a losts of efforts when you get then Just Awesome 
"Apple iPhone 14 (Blue, 128 GB)",5.0,Ultimate
"Apple iPhone 14 (Blue, 128 GB)",5.0,"Amazing product, love the design and the feel is awesome
Performance is very smooth."
"Apple iPhone 14 (Blue, 128 GB)",5.0,Just wow
"Apple iPhone 14 (Blue, 128 GB)",5.0,Amazing device for daily life about camera about sound quality all are good
"Apple iPhone 14 (Blue, 128 GB)",5.0,Excellent camera
"Apple iPhone 14 (Blue, 128 GB)",5.0,Super camera.
"Apple iPhone 14 (Blue, 128 GB)",4.0,Nice look badiya phone after one year use great working
"Apple iPhone 14 (Blue, 128 GB)",5.0,Absolutely Awesome
"Apple iPhone 14 (Blue, 128 GB)",5.0,"Just awesome!!
I switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it.

Camera is best. Battery giving a full day. Speaker sounds wide and clear.

Must buy!!"
"Apple iPhone 14 (Blue, 128 GB)",5.0,Great picture quality. Performance is good as always. The important addition is the cinematographic video recording
"Apple iPhone 14 (Blue, 128 GB)",5.0,awesome build quality and features
"Apple iPhone 14 (Blue, 128 GB)",5.0,Really an overall great product
"Apple iPhone 14 (Blue, 128 GB)",5.0,"Very attractive
Must buy
Love It"
"Apple iPhone 14 (Blue, 128 GB)",5.0,Excellent Product 
"Apple iPhone 14 (Blue, 128 GB)",5.0,Love it
"Apple iPhone 14 (Blue, 128 GB)",5.0,"Happy to have iPhone 14. Wonderful phone specially because of Powerful camera, perfect screen size and potentially battery life make it worthy."
"Apple iPhone 14 (Blue, 128 GB)",5.0,Camera cinematic next level
